id,director_name,duration,actor_1_name,actor_2_name,gross,movie_title,num_voted_users,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,Action,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Game-Show,Reality-TV,News,Short,Film-Noir
480,Unknown,25,Elizabeth Montgomery,Agnes Moorehead,-1,Bewitched,11427,Dick York,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,71,English,USA,TV-G,-1,1900,7.6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,James Algar,74,Quincy Jones,Penn Jillette,60507228,Fantasia 2000,27543,Russi Taylor,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,186,English,USA,G,80000000,1999,7.3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
482,Simon Wells,96,Mark Addy,Alan Young,56684819,The Time Machine,103787,Josh Stamberg,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,615,English,USA,PG-13,80000000,2002,5.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Ron Underwood,114,Charlize Theron,Mika Boorem,50628009,Mighty Joe Young,22955,David Paymer,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,88,English,USA,PG,90000000,1998,5.6,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,Dominic Sena,99,Hugh Jackman,Don Cheadle,69772969,Swordfish,155532,Sam Shepard,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,543,English,USA,R,80000000,2001,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
485,Martin Campbell,129,Michael Emerson,Nick Chinlund,45356386,The Legend of Zorro,71574,Adrian Alonso,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,244,Spanish,USA,PG,75000000,2005,5.9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Vincent Ward,113,Robin Williams,Annabella Sciorra,55350897,What Dreams May Come,83560,Rosalind Chao,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,619,English,USA,PG-13,85000000,1998,7.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
487,Steven Brill,90,Adam Sandler,Jon Lovitz,39442871,Little Nicky,80639,Michael McKean,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,237,English,USA,PG-13,80000000,2000,5.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Terry Gilliam,118,Matt Damon,Heath Ledger,37899638,The Brothers Grimm,98472,Mackenzie Crook,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,492,English,USA,PG-13,88000000,2005,5.9,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,Tim Burton,106,Natalie Portman,Martin Short,37754208,Mars Attacks!,172217,Lukas Haas,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,405,English,USA,PG-13,70000000,1996,6.3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Lucile Hadzihalilovic,81,Nissim Renard,Roxane Duran,-1,Evolution,979,Julie-Marie Parmentier,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,3,French,France,Unknown,-1,2015,6.4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
491,Lee Tamahori,117,Anthony Hopkins,Harold Perrineau,27779888,The Edge,55913,Bart the Bear,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,182,English,USA,R,-1,1997,6.9,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
492,Jonathan Mostow,89,Bruce Willis,Devin Ratray,38542418,Surrogates,151424,Boris Kodjoe,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1,252,English,USA,PG-13,80000000,2009,6.3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Roger Donaldson,145,Bruce Greenwood,Jon Foster,34566746,Thirteen Days,45231,Bruce Thomas,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1,315,English,USA,PG-13,80000000,2000,7.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
494,Rob Cohen,114,Sylvester Stallone,Viggo Mortensen,32885565,Daylight,53132,Amy Brenneman,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1,101,English,USA,PG-13,80000000,1996,5.8,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
495,Barry Cook,87,Charlie Rowe,Tiya Sircar,36073232,Walking with Dinosaurs 3D,8913,Madison Rothschild,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,66,English,USA,PG,80000000,2013,5.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Roger Christian,119,Richard Tyson,Michael Byrne,21471685,Battlefield Earth,65464,John Topor,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,1308,English,USA,PG-13,44000000,2000,2.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,Joe Dante,91,Brendan Fraser,Jenna Elfman,20950820,Looney Tunes: Back in Action,24183,Heather Locklear,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1,160,English,Germany,PG,80000000,2003,5.7,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Rob Marshall,118,Fergie,Elio Germano,19673424,Nine,37446,Andrea Di Stefano,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1,232,English,USA,PG-13,80000000,2009,5.8,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
499,Richard Donner,116,Paul Walker,Gerard Butler,19480739,Timeline,53057,Ethan Embry,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,457,English,USA,PG-13,80000000,2003,5.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Kevin Costner,177,Olivia Williams,Brian Anthony Wilson,17593391,The Postman,56403,Larenz Tate,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1,376,English,USA,R,80000000,1997,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
501,George Miller,97,Adam Goldberg,Elizabeth Daily,18318000,Babe: Pig in the City,24868,Glenne Headly,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,216,English,Australia,G,80000000,1998,5.8,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
502,Breck Eisner,106,Vin Diesel,Joseph Gilgun,27356090,The Last Witch Hunter,58752,Lotte Verbeek,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,117,English,USA,PG-13,90000000,2015,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,Antony Hoffman,106,Bob Neill,Val Kilmer,17473245,Red Planet,47612,Tom Sizemore,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1,348,English,USA,PG-13,70000000,2000,5.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,Luc Besson,94,Mia Farrow,Adam LeFevre,15131330,Arthur and the Invisibles,25843,Penny Balfour,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,64,English,France,PG,86000000,2006,6.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,Jacques Perrin,104,Pedro Armendáriz Jr.,Jacques Perrin,19406406,Oceans,7630,Rie Miyazawa,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1,42,French,France,G,40000000,2009,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
506,Peter Hyams,102,David Oyelowo,Catherine McCormack,1891821,A Sound of Thunder,16474,Jemima Rooper,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,301,English,UK,PG-13,52000000,2005,4.2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
507,Paul W.S. Anderson,105,Sasha Roiz,Currie Graham,23219748,Pompeii,84508,Dylan Schombing,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,308,English,Canada,PG-13,80000000,2014,5.6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
508,Andrés Couturier,89,Sariann Monaco,David Hoffman,-1,Top Cat Begins,230,Ben Diskin,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,1,Spanish,Mexico,PG,8000000,2015,4.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Ron Howard,135,Adam Goldberg,Austin Pendleton,170708996,A Beautiful Mind,610568,Judd Hirsch,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,58000000,2001,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
510,Roger Allers,73,Matthew Broderick,Nathan Lane,422783777,The Lion King,644348,Niketa Calame,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,656,English,USA,G,45000000,1994,8.5,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
511,Brad Peyton,94,Josh Hutcherson,Dwayne Johnson,103812241,Journey 2: The Mysterious Island,67296,Kristin Davis,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1,133,English,USA,PG,79000000,2012,5.8,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,Cody Cameron,95,Will Forte,Khamani Griffin,119793567,Cloudy with a Chance of Meatballs 2,64387,Melissa Sturm,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,85,English,USA,PG,78000000,2013,6.5,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,Brett Ratner,124,Philip Seymour Hoffman,Anthony Hopkins,92930005,Red Dragon,204063,Emily Watson,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1,764,English,Germany,R,78000000,2002,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
514,Joe Johnston,136,J.K. Simmons,Viggo Mortensen,67286731,Hidalgo,67856,Peter Mensah,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,345,English,USA,PG-13,100000000,2004,6.7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Dennis Dugan,91,Al Pacino,Adam Sandler,74158157,Jack and Jill,60370,Tim Meadows,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,264,English,USA,PG,79000000,2011,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,John Singleton,107,Paul Walker,Cole Hauser,127083765,2 Fast 2 Furious,191912,Mo Gallini,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,370,English,USA,PG-13,76000000,2003,5.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
517,Mark Osborne,108,Jeff Bridges,James Franco,1339152,The Little Prince,28276,Mackenzie Foy,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,64,English,France,PG,81200000,2015,7.8,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
518,Oliver Hirschbiegel,99,Roger Rees,Veronica Cartwright,15071514,The Invasion,65037,Jeremy Northam,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1,273,English,USA,PG-13,80000000,2007,5.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,Des McAnuff,92,Robert De Niro,Janeane Garofalo,26000610,The Adventures of Rocky & Bullwinkle,16611,Jonathan Winters,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,197,English,USA,PG,76000000,2000,4.1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,Yarrow Cheney,87,Steve Coogan,Eric Stonestreet,323505540,The Secret Life of Pets,24407,Albert Brooks,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,155,English,Japan,PG,75000000,2016,6.8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Stephen Norrington,110,Jason Flemyng,Max Ryan,66462600,The League of Extraordinary Gentlemen,141533,Tony Curran,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,786,English,USA,PG-13,78000000,2003,5.8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,Pierre Coffin,98,Steve Carell,Miranda Cosgrove,368049635,Despicable Me 2,286877,Steve Coogan,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,284,English,USA,PG,76000000,2013,7.5,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Roland Emmerich,154,Will Smith,Adam Baldwin,306124059,Independence Day,430055,Mary McDonnell,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,856,English,USA,PG-13,75000000,1996,6.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Steven Spielberg,129,Ariana Richards,Richard Schiff,229074524,The Lost World: Jurassic Park,278362,Vanessa Lee Chester,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,552,English,USA,PG-13,73000000,1997,6.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,Eric Darnell,86,Jada Pinkett Smith,Cedric the Entertainer,193136719,Madagascar,266636,Andy Richter,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,385,English,USA,PG,75000000,2005,6.9,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,Alfonso Cuarón,109,Charlie Hunnam,Danny Huston,35286428,Children of Men,361767,Rita Davies,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,1206,English,USA,R,76000000,2006,7.9,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
527,Bryan Singer,104,Hugh Jackman,Tyler Mane,157299717,X-Men,452928,Bruce Davison,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,1401,English,USA,PG-13,75000000,2000,7.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Timur Bekmambetov,110,Angelina Jolie Pitt,Morgan Freeman,134568845,Wanted,299852,Common,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,713,English,USA,R,75000000,2008,6.7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
529,Michael Bay,136,Nicolas Cage,Michael Biehn,134006721,The Rock,259492,Bokeem Woodbine,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,415,English,USA,R,75000000,1996,7.4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,Carlos Saldanha,115,Denis Leary,Ray Romano,195329763,Ice Age: The Meltdown,194249,Jay Leno,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,253,English,USA,PG,80000000,2006,6.9,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,Peter Segal,99,Adam Sandler,Peter Dante,120776832,50 First Dates,266103,Allen Covert,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,456,English,USA,PG-13,75000000,2004,6.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,Adam Shankman,117,Jerry Stiller,Elijah Kelley,118823091,Hairspray,98693,Paul Dooley,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,401,English,USA,PG,75000000,2007,6.7,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
533,Renny Harlin,125,James D'Arcy,Alan Ford,41814863,Exorcist: The Beginning,28635,Izabella Scorupco,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,308,English,USA,R,50000000,2004,5.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
534,David Kellogg,110,Matthew Broderick,Rene Auberjonois,97360069,Inspector Gadget,36491,Rupert Everett,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,231,English,USA,PG,75000000,1999,4.1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,Louis Leterrier,125,Morgan Freeman,Common,117698894,Now You See Me,447979,Michael Kelly,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,629,English,USA,PG-13,75000000,2013,7.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
536,Dennis Dugan,102,Steve Buscemi,Adam Sandler,162001186,Grown Ups,181443,Salma Hayek,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,311,English,USA,PG-13,80000000,2010,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Steven Spielberg,128,Tom Hanks,Chi McBride,77032279,The Terminal,303864,Barry Shabaka Henley,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,596,English,USA,PG-13,60000000,2004,7.3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
538,Unknown,43,Harold Perrineau,Matt Ryan,-1,Constantine,36919,Charles Halford,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,94,English,USA,TV-14,-1,1900,7.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
539,Thor Freudenthal,100,Don Cheadle,Kevin Dillon,73023275,Hotel for Dogs,16271,Yvette Nicole Brown,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,57,English,USA,PG,35000000,2009,5.4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,Martin Campbell,124,Nicholas Lea,Scott Glenn,68473360,Vertical Limit,49536,Ben Mendelsohn,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,379,English,USA,PG-13,75000000,2000,5.9,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
541,Mike Nichols,102,Philip Seymour Hoffman,Tom Hanks,66636385,Charlie Wilson's War,88451,Jud Tylor,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,289,English,USA,R,75000000,2007,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
542,Bibo Bergeron,90,Robert De Niro,Martin Scorsese,160762022,Shark Tale,132415,Angelina Jolie Pitt,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,288,English,USA,PG,75000000,2004,6.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Bill Condon,130,Loretta Devine,Jennifer Hudson,103338338,Dreamgirls,55901,Anika Noni Rose,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,503,English,USA,PG-13,70000000,2006,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
544,Unknown,45,Adam Arkin,Brent Sexton,-1,Life,29450,Damian Lewis,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,67,English,USA,Unknown,-1,1900,8.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
545,F. Gary Gray,118,Dwayne Johnson,Christina Milian,55808744,Be Cool,59435,Debi Mazar,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,323,English,USA,PG-13,53000000,2005,5.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
546,Steven Spielberg,163,Ayelet Zurer,Moritz Bleibtreu,47379090,Munich,176936,Mathieu Amalric,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,824,English,France,R,70000000,2005,7.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
547,Antoine Fuqua,142,Bruce Willis,Tom Skerritt,43426961,Tears of the Sun,93494,Cole Hauser,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,394,English,USA,R,70000000,2003,6.6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
548,Robert Luketic,100,Tom Selleck,Lisa Ann Walter,47000485,Killers,72867,Catherine O'Hara,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,120,English,USA,PG-13,75000000,2010,5.4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,Guy Ritchie,116,Henry Cavill,Elizabeth Debicki,45434443,The Man from U.N.C.L.E.,175960,Christian Berkel,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,360,English,USA,PG-13,75000000,2015,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,James L. Brooks,131,Adam Sandler,Paz Vega,42044321,Spanglish,65668,Sarah Steele,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,342,English,USA,PG-13,80000000,2004,6.5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
551,Gil Kenan,91,Steve Buscemi,Jon Heder,73661010,Monster House,71137,Catherine O'Hara,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,229,English,USA,PG,75000000,2006,6.6,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Barry Levinson,123,Bruce Willis,Brían F. O'Byrne,41523271,Bandits,57038,Azura Skye,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,261,English,USA,PG-13,80000000,2001,6.6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
553,Jerry Zucker,134,Julia Ormond,Ben Cross,37600435,First Knight,55350,John Gielgud,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,180,English,USA,PG-13,55000000,1995,5.9,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Andy Tennant,148,Bai Ling,Geoffrey Palmer,39251128,Anna and the King,31080,Randall Duk Kim,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,217,English,USA,PG-13,75000000,1999,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
555,Tarsem Singh,110,Henry Cavill,Daniel Sharman,83503161,Immortals,138190,Steve Byers,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,405,English,USA,R,75000000,2011,6.1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
556,Florent-Emilio Siri,113,Jimmy Bennett,Bruce Willis,34636443,Hostage,93790,Ransford Doherty,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,288,English,USA,R,52000000,2005,6.6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
557,Don Bluth,94,Matt Damon,Janeane Garofalo,22751979,Titan A.E.,52244,Nathan Lane,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,377,English,USA,PG,75000000,2000,6.6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Ron Shelton,116,Harrison Ford,Bruce Greenwood,30013346,Hollywood Homicide,31293,Lena Olin,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,254,English,USA,PG-13,75000000,2003,5.3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
559,Paul W.S. Anderson,99,Connie Nielsen,Sean Pertwee,14567883,Soldier,44248,Jason Scott Lee,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,373,English,UK,R,75000000,1998,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
560,David Pastor,84,Christopher Meloni,Kiernan Shipka,90820,Carriers,35510,Lou Taylor Pucci,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,119,English,USA,PG-13,-1,2009,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
561,Henry Selick,93,Brendan Fraser,Bridget Fonda,5409517,Monkeybone,14280,Megan Mullally,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,171,English,USA,PG-13,75000000,2001,4.7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,John Moore,113,Dennis Quaid,Tony Curran,21009180,Flight of the Phoenix,45815,Miranda Otto,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,222,English,USA,PG-13,45000000,2004,6.1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
563,M. Night Shyamalan,106,Robin Wright,Bruce Willis,94999143,Unbreakable,245152,Michael Kelly,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,1344,English,USA,PG-13,75000000,2000,7.2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
564,Kyle Balda,91,Steve Carell,Jon Hamm,336029560,Minions,142403,Steve Coogan,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,275,English,USA,PG,74000000,2015,6.4,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
