id,director_name,duration,actor_1_name,actor_2_name,gross,movie_title,num_voted_users,actor_3_name,movie_imdb_link,imdb_id,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,poster,isNominated,totalNominations,BestDirector,BestActor,Action,Adventure,Fantasy,Sci-Fi,Thriller
340,Peter Jackson,192,Orlando Bloom,Billy Boyd,377019252,The Lord of the Rings: The Return of the King,1215718,Bernard Hill,http://www.imdb.com/title/tt0167260/,tt0167260,3189,English,USA,PG-13,94000000,2003,8.9,https://images-na.ssl-images-amazon.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,1,10,1,1,1,1,1,0,0
341,Peter Jackson,172,Christopher Lee,Orlando Bloom,340478898,The Lord of the Rings: The Two Towers,1100446,Billy Boyd,http://www.imdb.com/title/tt0167261/,tt0167261,2417,English,USA,PG-13,94000000,2002,8.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMDY0NmI4ZjctN2VhZS00YzExLTkyZGItMTJhOTU5NTg4MDU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1,6,0,0,1,1,1,0,0
342,Sergey Bodrov,102,Jeff Bridges,Djimon Hounsou,17176900,Seventh Son,54501,Olivia Williams,http://www.imdb.com/title/tt1121096/,tt1121096,154,English,USA,PG-13,95000000,2014,5.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNTg2MDkyN15BMl5BanBnXkFtZTgwNzA3NzY1MjE@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
343,Simon West,100,Angelina Jolie Pitt,Noah Taylor,131144183,Lara Croft: Tomb Raider,157016,Chris Barrie,http://www.imdb.com/title/tt0146316/,tt0146316,824,English,USA,PG-13,115000000,2001,5.7,https://images-na.ssl-images-amazon.com/images/M/MV5BNzMzODVjMWUtYmIxZS00NDlkLTlmNTktNjI5NTdhZjUzYzY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,1,1,1,0,1
344,Wally Pfister,119,Johnny Depp,Morgan Freeman,23014504,Transcendence,172707,Clifton Collins Jr.,http://www.imdb.com/title/tt2209764/,tt2209764,462,English,UK,PG-13,100000000,2014,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MjQ3ODAyOV5BMl5BanBnXkFtZTgwNjI1NDQ0MTE@._V1_SX300.jpg,0,0,0,0,0,0,0,1,1
345,Joe Johnston,92,Michael Jeter,Trevor Morgan,181166115,Jurassic Park III,219501,Alessandro Nivola,http://www.imdb.com/title/tt0163025/,tt0163025,1236,English,USA,PG-13,93000000,2001,5.9,https://images-na.ssl-images-amazon.com/images/M/MV5BZTU1ZWU4ZjUtZDMwYS00MmU4LWI3Y2UtZWVjMWIzODMyOWQ4XkEyXkFqcGdeQXVyNTM2NTY4NzU@._V1_SX300.jpg,0,0,0,0,1,1,0,1,1
346,Rupert Wyatt,105,James Franco,David Oyelowo,176740650,Rise of the Planet of the Apes,403836,Tyler Labine,http://www.imdb.com/title/tt1318514/,tt1318514,646,English,USA,PG-13,93000000,2011,7.6,https://images-na.ssl-images-amazon.com/images/M/MV5BYzE3ZmNlZTctMDdmNy00MjMzLWFmZmYtN2M5N2YyYTQ1ZDJjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,0,1,0,0,1,0,0,1,1
347,Mark Waters,107,Martin Short,Tod Fennell,71148699,The Spiderwick Chronicles,68935,Joan Plowright,http://www.imdb.com/title/tt0416236/,tt0416236,125,English,USA,PG,90000000,2008,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMDcyMzM2Ml5BMl5BanBnXkFtZTYwNzg1Nzc4._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
348,John Moore,101,Bruce Willis,Cole Hauser,67344392,A Good Day to Die Hard,165618,Megalyn Echikunwoke,http://www.imdb.com/title/tt1606378/,tt1606378,503,English,USA,R,92000000,2013,5.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
349,John Lee Hancock,137,Dennis Quaid,Marc Blucas,22406362,The Alamo,16832,Jordi Mollà,http://www.imdb.com/title/tt0318974/,tt0318974,267,English,USA,PG-13,107000000,2004,6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzOTQ5Nzg4MzheQTJeQWpwZ15BbWU2MDQwODAxNw@@._V1_SX300.jpg,1,6,0,0,0,0,0,0,0
350,Brad Bird,115,Holly Hunter,Craig T. Nelson,261437578,The Incredibles,479166,Lou Romano,http://www.imdb.com/title/tt0317705/,tt0317705,815,English,USA,PG,92000000,2004,8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg,1,4,0,0,1,1,0,0,0
351,Renny Harlin,124,Christopher Masterson,Frank Langella,11000000,Cutthroat Island,21102,Matthew Modine,http://www.imdb.com/title/tt0112760/,tt0112760,169,English,USA,PG-13,98000000,1995,5.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,0,0,0,0,1,1,0,0,0
352,Chris Columbus,118,Logan Lerman,Rosario Dawson,88761720,Percy Jackson & the Olympians: The Lightning Thief,141179,Steve Coogan,http://www.imdb.com/title/tt0814255/,tt0814255,419,English,UK,PG,95000000,2010,5.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MzY5OTQ2N15BMl5BanBnXkFtZTcwNzI1MTU5Mg@@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
353,Barry Sonnenfeld,98,Will Smith,Rip Torn,250147615,Men in Black,403014,Linda Fiorentino,http://www.imdb.com/title/tt0119654/,tt0119654,289,English,USA,PG-13,90000000,1997,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,0,4,0,0,0,1,0,1,0
354,John Lasseter,82,Tom Hanks,John Ratzenberger,245823397,Toy Story 2,385871,Wayne Knight,http://www.imdb.com/title/tt0120363/,tt0120363,515,English,USA,G,90000000,1999,7.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
355,Tony Scott,98,Denzel Washington,Rosario Dawson,81557479,Unstoppable,149947,Ethan Suplee,http://www.imdb.com/title/tt0477080/,tt0477080,326,English,USA,PG-13,100000000,2010,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4NDQwMDM0N15BMl5BanBnXkFtZTcwMzY1ODMwNA@@._V1_SX300.jpg,0,1,0,0,1,0,0,0,1
356,Brett Ratner,90,Mei Melançon,John Lone,226138454,Rush Hour 2,160440,Harris Yulin,http://www.imdb.com/title/tt0266915/,tt0266915,394,English,USA,PG-13,90000000,2001,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BODhlNGJjMWQtZGMyYS00MzJhLWJhZGMtY2NlNDI5Nzg5NTU2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
357,Robert Zemeckis,130,Harrison Ford,Amber Valletta,155370362,What Lies Beneath,98403,Miranda Otto,http://www.imdb.com/title/tt0161081/,tt0161081,683,English,USA,PG-13,100000000,2000,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,0,0,0,0,0,0,1,0,1
358,Phil Lord,90,Will Forte,Bobb'e J. Thompson,124870275,Cloudy with a Chance of Meatballs,152601,Al Roker,http://www.imdb.com/title/tt0844471/,tt0844471,156,English,USA,PG,100000000,2009,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MjAwNDI5MV5BMl5BanBnXkFtZTcwODkyMzg2Mg@@._V1_SX300.jpg,0,0,0,0,0,0,0,1,0
359,Carlos Saldanha,94,Denis Leary,Maile Flanagan,196573705,Ice Age: Dawn of the Dinosaurs,166791,Kelly Keaton,http://www.imdb.com/title/tt1080016/,tt1080016,132,English,USA,PG,90000000,2009,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0Mjg4NV5BMl5BanBnXkFtZTcwOTM1NTY0Mg@@._V1_SX300.jpg,0,0,0,0,1,1,0,0,0
360,Ben Stiller,114,Adam Scott,Adrian Martinez,58229120,The Secret Life of Walter Mitty,236421,Joey Slotnick,http://www.imdb.com/title/tt0359950/,tt0359950,515,English,USA,PG,90000000,2013,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
361,McG,94,Bill Murray,LL Cool J,125305545,Charlie's Angels,145350,Kelly Lynch,http://www.imdb.com/title/tt0160127/,tt0160127,643,English,USA,PG-13,92000000,2000,5.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMGI1NTM5MTItNDcxMS00YTIwLTg1NjUtNzE5ZGE5NDkxMmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,1,1,0,0,1
362,Martin Scorsese,151,Leonardo DiCaprio,Matt Damon,132373442,The Departed,873649,Ray Winstone,http://www.imdb.com/title/tt0407887/,tt0407887,2054,English,USA,R,90000000,2006,8.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,1,5,1,1,0,0,0,0,1
363,Tony Bancroft,88,Ming-Na Wen,Harvey Fierstein,120618403,Mulan,171792,June Foray,http://www.imdb.com/title/tt0120762/,tt0120762,222,English,USA,G,90000000,1998,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BODczMTdlYjMtZmNlYS00ZTliLTg1Y2YtZTY5MWM2MTQzMzNiXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,0,1,0,0,0,1,1,0,0
364,Ben Stiller,121,Robert Downey Jr.,Steve Coogan,110416702,Tropic Thunder,307539,Brandon T. Jackson,http://www.imdb.com/title/tt0942385/,tt0942385,577,English,USA,R,92000000,2008,7,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_SX300.jpg,0,1,0,0,1,0,0,0,0
365,David Fincher,158,Robin Wright,Goran Visnjic,102515793,The Girl with the Dragon Tattoo,330152,Joely Richardson,http://www.imdb.com/title/tt1568346/,tt1568346,632,English,USA,R,90000000,2011,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg,0,5,0,0,0,0,0,0,1
366,John McTiernan,128,Bruce Willis,Aldis Hodge,100012500,Die Hard with a Vengeance,299258,Kevin Chamberlin,http://www.imdb.com/title/tt0112864/,tt0112864,346,English,USA,R,90000000,1995,7.6,https://images-na.ssl-images-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,1,1,0,0,1
367,Guy Ritchie,128,Robert Downey Jr.,Eddie Marsan,209019489,Sherlock Holmes,477300,Robert Maillet,http://www.imdb.com/title/tt0988045/,tt0988045,621,English,USA,PG-13,90000000,2009,7.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX300.jpg,0,2,0,0,1,1,0,0,1
369,Gary Trousdale,95,Leonard Nimoy,Jim Varney,84037039,Atlantis: The Lost Empire,72591,Cree Summer,http://www.imdb.com/title/tt0230011/,tt0230011,289,English,USA,PG,120000000,2001,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MDU2MTQ2M15BMl5BanBnXkFtZTYwOTc5OTI3._V1_SX300.jpg,0,0,0,0,1,1,1,1,0
370,Walt Becker,92,Bella Thorne,Joshua Mikel,85884815,Alvin and the Chipmunks: The Road Chip,9418,Jesse McCartney,http://www.imdb.com/title/tt2974918/,tt2974918,53,English,USA,PG,90000000,2015,5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NjQyNTkyOF5BMl5BanBnXkFtZTgwNzA3OTUyNzE@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
371,Bryan Singer,121,Tom Cruise,Tom Wilkinson,83077470,Valkyrie,183247,Thomas Kretschmann,http://www.imdb.com/title/tt0985699/,tt0985699,440,English,USA,PG-13,75000000,2008,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3Njc2ODEyN15BMl5BanBnXkFtZTcwNTAwMzc3NA@@._V1_SX300.jpg,0,0,0,0,0,0,0,0,1
372,Dennis Dugan,113,Adam Sandler,Sayed Badreya,100018837,You Don't Mess with the Zohan,156348,Kevin Nealon,http://www.imdb.com/title/tt0960144/,tt0960144,380,English,USA,PG-13,90000000,2008,5.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE2MzEzNDc5M15BMl5BanBnXkFtZTcwMzYxOTA3MQ@@._V1_SX300.jpg,0,0,0,0,1,0,0,0,0
373,Chris Columbus,106,Peter Dinklage,Adam Sandler,78747585,Pixels,89770,Josh Gad,http://www.imdb.com/title/tt2120120/,tt2120120,342,English,USA,PG-13,88000000,2015,5.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzM4NDY5N15BMl5BanBnXkFtZTgwNzg1NTI3MzE@._V1_SX300.jpg,0,0,0,0,1,0,0,1,0
374,Steven Spielberg,146,Haley Joel Osment,William Hurt,78616689,A.I. Artificial Intelligence,238747,Kevin Sussman,http://www.imdb.com/title/tt0212720/,tt0212720,2153,English,USA,PG-13,100000000,2001,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0,2,0,0,0,1,0,1,0
375,Rob Minkoff,88,Marsha Thomason,Rachael Harris,75817994,The Haunted Mansion,32049,Marc John Jefferies,http://www.imdb.com/title/tt0338094/,tt0338094,179,English,USA,PG,90000000,2003,4.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDUwNzAxNzZeQTJeQWpwZ15BbWU3MDQyMTUwMDE@._V1_SX300.jpg,0,0,0,0,0,0,1,0,0
376,Robert Zemeckis,150,Matthew McConaughey,Tom Skerritt,100853835,Contact,200556,Larry King,http://www.imdb.com/title/tt0118884/,tt0118884,611,English,USA,PG,90000000,1997,7.4,https://images-na.ssl-images-amazon.com/images/M/MV5BYWNkYmFiZjUtYmI3Ni00NzIwLTkxZjktN2ZkMjdhMzlkMDc3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,0,2,0,0,0,0,0,1,1
377,Paul Verhoeven,119,Greg Grunberg,Kim Dickens,73209340,Hollow Man,101834,Joey Slotnick,http://www.imdb.com/title/tt0164052/,tt0164052,628,English,USA,R,95000000,2000,5.7,https://images-na.ssl-images-amazon.com/images/M/MV5BZTM1MjM2Y2QtOTMyOS00ZTE4LWFiZTEtMjBjMjg3NmE0ZjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,1,0,0,1,0,0,1,1
378,Sydney Pollack,128,Curtiss Cook,George Harris,72515360,The Interpreter,86152,Michael Wright,http://www.imdb.com/title/tt0373926/,tt0373926,411,Aboriginal,UK,PG-13,80000000,2005,6.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MjMxNDUzNV5BMl5BanBnXkFtZTcwNTM2NzgyMQ@@._V1_SX300.jpg,0,0,0,0,0,0,0,0,1
379,Thor Freudenthal,106,Logan Lerman,Leven Rambin,68558662,Percy Jackson: Sea of Monsters,86627,Brandon T. Jackson,http://www.imdb.com/title/tt1854564/,tt1854564,204,English,USA,PG,90000000,2013,5.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwODUyODI0Nl5BMl5BanBnXkFtZTcwNzAxODY2OQ@@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
380,Jan de Bont,117,Gerard Butler,Angelina Jolie Pitt,65653758,Lara Croft Tomb Raider: The Cradle of Life,102747,Djimon Hounsou,http://www.imdb.com/title/tt0325703/,tt0325703,316,English,USA,PG-13,95000000,2003,5.5,https://images-na.ssl-images-amazon.com/images/M/MV5BYzYxOTgxYjAtNGI3MS00NDJkLTkyZWItZGM5MzRhOGYwYjlmL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
381,Jon M. Chu,129,Daniel Radcliffe,Morgan Freeman,64685359,Now You See Me 2,40862,Sanaa Lathan,http://www.imdb.com/title/tt3110958/,tt3110958,139,English,USA,PG-13,90000000,2016,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ0NDgwODQ3NV5BMl5BanBnXkFtZTgwOTYxNjc2ODE@._V1_SX300.jpg,0,0,0,0,1,1,0,0,1
382,Phillip Noyce,116,Alun Armstrong,Michael Byrne,61355436,The Saint,52136,Velibor Topic,http://www.imdb.com/title/tt0120053/,tt0120053,184,English,USA,PG-13,68000000,1997,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BNmM3MjI2YjUtYjk1MS00M2VjLWI4MmUtM2UyYWQyNTVlZGE5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0,0,0,0,1,1,0,1,1
383,Tony Scott,114,Brad Pitt,Stephen Dillane,26871,Spy Game,121259,Catherine McCormack,http://www.imdb.com/title/tt0266987/,tt0266987,361,English,Germany,R,92000000,2001,7,https://images-na.ssl-images-amazon.com/images/M/MV5BNjNhOGZkNzktMGU3NC00ODk2LWE4NjctZTliN2JjZTQxZmIxXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
384,Brian De Palma,114,Don Cheadle,Connie Nielsen,60874615,Mission to Mars,60467,Kim Delaney,http://www.imdb.com/title/tt0183523/,tt0183523,949,English,USA,PG,90000000,2000,5.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMzhiNjVhZjUtMWYwMy00M2U5LWE5NWEtNGU4N2E5NTI3MzFlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,0,1,0,1,1
385,Carlos Saldanha,96,Anne Hathaway,Wanda Sykes,143618384,Rio,165333,Will.i.am,http://www.imdb.com/title/tt1436562/,tt1436562,186,English,USA,G,90000000,2011,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MDY3MzAzMl5BMl5BanBnXkFtZTcwMTg0NjM5NA@@._V1_SX300.jpg,0,0,0,0,0,1,0,0,0
386,Chris Columbus,132,Robin Williams,Oliver Platt,58220776,Bicentennial Man,87785,John Michael Higgins,http://www.imdb.com/title/tt0182789/,tt0182789,362,English,USA,PG,100000000,1999,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BYTU4Nzg5YmItNzE0Yy00Y2VmLWI3OTYtNTFjODEzMDE0YTI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,1,0,0,0,0,0,1,0
387,Mick Jackson,104,Don Cheadle,Anne Heche,47474112,Volcano,58227,Gaby Hoffmann,http://www.imdb.com/title/tt0120461/,tt0120461,181,English,USA,PG-13,90000000,1997,5.4,https://images-na.ssl-images-amazon.com/images/M/MV5BY2I2MTFiOWMtY2YzOC00MTZjLTg0NWUtMmZjZWJlZDYwZDZkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,0,0,0,0,1,0,0,1,1
388,Alan J. Pakula,111,Harrison Ford,Brad Pitt,42877165,The Devil's Own,45602,Natascha McElhone,http://www.imdb.com/title/tt0118972/,tt0118972,114,English,USA,R,86000000,1997,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMDA1OTc4OF5BMl5BanBnXkFtZTgwODc2MzkyMTE@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
389,Kathryn Bigelow,138,Liam Neeson,Christian Camargo,35168677,K-19: The Widowmaker,49311,Lex Shrapnel,http://www.imdb.com/title/tt0267626/,tt0267626,278,English,UK,PG-13,100000000,2002,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMWY2YjIwNDAtYjQwOC00YjY5LTk2MDUtMjY4ZDdiMjdlNjIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,0,0,0,0,1
391,John Milius,129,William Smith,Mako,37567440,Conan the Barbarian,113065,Sandahl Bergman,http://www.imdb.com/title/tt0082198/,tt0082198,337,English,USA,R,20000000,1982,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMWIxMzQxZjAtMGFkNC00NzYwLWFiMGEtNzZhZjE5MmFiMmMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
392,Ron Howard,144,Paddy Considine,Bruce McGill,61644321,Cinderella Man,148238,Rosemarie DeWitt,http://www.imdb.com/title/tt0352248/,tt0352248,529,English,USA,PG-13,88000000,2005,8,https://images-na.ssl-images-amazon.com/images/M/MV5BODEyYmQxZjUtZGQ0NS00ZTAwLTkwOGQtNGY2NzEwMWE0MDc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,3,0,0,0,0,0,0,0
393,Andrey Konchalovskiy,110,Shirley Henderson,Nathan Lane,190562,The Nutcracker in 3D,2508,Richard E. Grant,http://www.imdb.com/title/tt1041804/,tt1041804,24,English,UK,PG,90000000,2010,4.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0ODM0OTgwNV5BMl5BanBnXkFtZTcwMzE2MTE1Mw@@._V1_SX300.jpg,0,0,0,0,1,0,1,0,0
394,Gary Ross,140,Jeff Bridges,Michael Angarano,120147445,Seabiscuit,57661,Michael O'Neill,http://www.imdb.com/title/tt0329575/,tt0329575,455,English,USA,PG-13,87000000,2003,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMWVmMmE1YzItNGUyZS00MzgwLWFhNzYtYjM4ZTJmZDVjNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1,7,0,0,0,0,0,0,0
395,Jan de Bont,113,Philip Seymour Hoffman,Alan Ruck,241688385,Twister,144053,Jami Gertz,http://www.imdb.com/title/tt0117998/,tt0117998,395,English,USA,PG-13,92000000,1996,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BODExYTM0MzEtZGY2Yy00N2ExLTkwZjItNGYzYTRmMWZlOGEzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,0,2,0,0,1,1,0,0,1
397,Robert Zemeckis,143,Tom Hanks,Paul Sanchez,233630478,Cast Away,394317,Nick Searcy,http://www.imdb.com/title/tt0162222/,tt0162222,1051,English,USA,PG-13,90000000,2000,7.7,https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,0,2,0,0,0,1,0,0,0
398,George Miller,108,Robin Williams,Hugh Jackman,197992827,Happy Feet,132501,Elizabeth Daily,http://www.imdb.com/title/tt0366548/,tt0366548,548,English,USA,PG,100000000,2006,6.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTkxMjUwMV5BMl5BanBnXkFtZTcwMDQ2NTU0MQ@@._V1_SX300.jpg,1,1,0,0,0,0,0,0,0
399,Paul Greengrass,108,Matt Damon,Joan Allen,176049130,The Bourne Supremacy,348232,Oksana Akinshina,http://www.imdb.com/title/tt0372183/,tt0372183,806,English,USA,PG-13,75000000,2004,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BYTIyMDFmMmItMWQzYy00MjBiLTg2M2UtM2JiNDRhOWE4NjBhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
400,Wolfgang Petersen,124,Harrison Ford,Gary Oldman,172620724,Air Force One,146134,Dean Stockwell,http://www.imdb.com/title/tt0118571/,tt0118571,393,English,USA,R,85000000,1997,6.4,https://images-na.ssl-images-amazon.com/images/M/MV5BYTk5NWE2ZjAtZmRmOS00ZGYzLWI5ZmUtMDcwODI0YWY0MTRlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,0,2,0,0,1,1,0,0,1
401,Steven Soderbergh,116,Brad Pitt,Bernie Mac,183405771,Ocean's Eleven,402645,Elliott Gould,http://www.imdb.com/title/tt0240772/,tt0240772,845,English,USA,PG-13,85000000,2001,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BYzVmYzVkMmUtOGRhMi00MTNmLThlMmUtZTljYjlkMjNkMjJkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,0,0,0,0,0,0,0,0,1
402,Paul W.S. Anderson,110,Milla Jovovich,Logan Lerman,20315324,The Three Musketeers,88542,Orlando Bloom,http://www.imdb.com/title/tt1509767/,tt1509767,254,English,Germany,PG-13,75000000,2011,5.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_SX300.jpg,0,1,0,0,1,1,0,0,0
403,Genndy Tartakovsky,91,Steve Buscemi,Adam Sandler,148313048,Hotel Transylvania,164148,Jon Lovitz,http://www.imdb.com/title/tt0837562/,tt0837562,168,English,USA,PG,85000000,2012,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,0,0,0,0,0,0,1,0,0
404,Kevin Lima,107,Jeff Bennett,Teala Dunn,127706877,Enchanted,142496,Fred Tatasciore,http://www.imdb.com/title/tt0461770/,tt0461770,399,English,USA,PG,85000000,2007,7.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SX300.jpg,0,0,0,0,0,0,1,0,0
406,Daniel Espinosa,115,Denzel Washington,Ryan Reynolds,126149655,Safe House,166693,Sam Shepard,http://www.imdb.com/title/tt1599348/,tt1599348,276,English,USA,R,85000000,2012,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
